species,lon,lat,oppc,n
fulanus_fulanus,-38.366667,-12.85,2916,1088
fulanus_fulanus,-39.048333,-15.226111,3230,1088
fulanus_fulanus,-39.189722,-14.706944,3151,1088
fulanus_fulanus,-45.3717,-1.6633,1085,1088
fulanus_fulanus,-39.0903,-13.3289,2993,1088
fulanus_fulanus,-49.9381,-0.9844,997,1088
fulanus_fulanus,-49.9398887,-0.9819837,997,1088
fulanus_fulanus,-47.619411,-1.120763,1001,1088
fulanus_fulanus,-63.32,0.82,654,1088
fulanus_fulanus,-39.2033815,-16.8700182,3546,1088
fulanus_fulanus,-52.92,2.13,517,1088
fulanus_fulanus,-59.48,-1.83,1136,1088
fulanus_fulanus,-39.06917,-14.78194,3230,1088
fulanus_fulanus,-39.0692,-14.7819,3230,1088
fulanus_fulanus,-39.08,-15.15,3230,1088
fulanus_fulanus,-46.1167,-1.2,1004,1088
fulanus_fulanus,-39.0617,-14.4231,3151,1088
fulanus_fulanus,-39.0244,-16.2783,3467,1088
fulanus_fulanus,-39.0144,-14.1033,3072,1088
fulanus_fulanus,-39.0644,-16.4497,3467,1088
fulanus_fulanus,-39.1202492,-15.1148921,3230,1088
fulanus_fulanus,-39.0440986,-16.2986237,3467,1088
fulanus_fulanus,-39.0753,-15.2933,3309,1088
fulanus_fulanus,-39.185433,-16.4051485,3467,1088
fulanus_fulanus,-38.68000031,-12.62749958,2836,1088
fulanus_fulanus,-59.4833333,-1.8333333,1136,1088
fulanus_fulanus,-52.88333,2.2,517,1088
fulanus_fulanus,-58.63333,1.65,584,1088
fulanus_fulanus,-39.7222,-14.1672,3071,1088
fulanus_fulanus,-39.0675,-15.167778,3230,1088
fulanus_fulanus,-39.133333,-13.716667,2993,1088
fulanus_fulanus,-38.483333,-12.5,2837,1088
fulanus_fulanus,-39.5,-16.433333,3467,1088
fulanus_fulanus,-39.116667,-14.683333,3151,1088
fulanus_fulanus,-39.078056,-15.249444,3230,1088
fulanus_fulanus,-39.227778,-15.842778,3388,1088
fulanus_fulanus,-39.002778,-15.338889,3309,1088
fulanus_fulanus,-37.966667,-12.166667,2759,1088
fulanus_fulanus,-45,-5,1639,1088
fulanus_fulanus,-52,1,677,1088
fulanus_fulanus,-67.05,1.933333,488,1088
fulanus_fulanus,-67.11666,1.95,488,1088
fulanus_fulanus,-66.4166667,1.0833333,648,1088
fulanus_fulanus,-67.05,1.93333,488,1088
fulanus_fulanus,-61.104167,-4.853611,1606,1088
fulanus_fulanus,-61.11666,4.55,105,1088
fulanus_fulanus,-60,-13,2873,1088
fulanus_fulanus,-35.8125,-9.1875,2289,1088
fulanus_fulanus,-51.88,3.8,203,1088
fulanus_fulanus,-59.55,3.3,266,1088
fulanus_fulanus,-63.14139938,-4.0850000380000004,1444,1088
fulanus_fulanus,-60.18610001,-3.284719944,1371,1088
fulanus_fulanus,-69.416667,-1.116667,958,1088
fulanus_fulanus,-65.05,-2.466667,1203,1088
fulanus_fulanus,-60.283333,-3.033333,1292,1088
fulanus_fulanus,-64.5,-0.083333,810,1088
fulanus_fulanus,-62.359167,-4.465242,1525,1088
fulanus_fulanus,-66.850139,1.196306,647,1088
fulanus_fulanus,-66.58,-0.27,884,1088
fulanus_fulanus,-68.9350837,-3.4711744,1354,1088
fulanus_fulanus,-69.6436429,-4.7724089,1589,1088
fulanus_fulanus,-43.514722,-20.154722,4011,1088
fulanus_fulanus,-41.66109848,-22.18720055,4331,1088
fulanus_fulanus,-41.47219849,-22.1067009,4332,1088
fulanus_fulanus,-73.216667,-7.133333,1898,1088
fulanus_fulanus,-59.925108,-2.948074,1293,1088
fulanus_fulanus,-59.917675,-2.937833,1293,1088
fulanus_fulanus,-72.66999817,-7.631110191,1978,1088
fulanus_fulanus,-60.37969971,-5.120560169,1608,1088
fulanus_fulanus,-35.03499985,-8.286669731,2211,1088
fulanus_fulanus,-40.07220078,-19.39109993,3939,1088
fulanus_fulanus,-40.392778,-20.548056,4097,1088
fulanus_fulanus,-40.51100159,-20.65800095,4096,1088
fulanus_fulanus,-34.960386,-7.697356,2054,1088
fulanus_fulanus,-34.971014,-7.705731,2054,1088
fulanus_fulanus,-35.002222,-7.691389,2053,1088
fulanus_fulanus,-46.73722222,-1.07861111,1003,1088
fulanus_fulanus,-39.26580048,-17.73189926,3625,1088
fulanus_fulanus,-40.41999817,-20.26390076,4097,1088
fulanus_fulanus,-42.083333,-22.533333,4409,1088
fulanus_fulanus,-39.55080032,-18.08639908,3703,1088
fulanus_fulanus,-40.636389,-19.925,4017,1088
fulanus_fulanus,-39.061111,-15.171389,3230,1088
fulanus_fulanus,-39.1775,-13.798333,3072,1088
fulanus_fulanus,-38.95,-14.066667,3073,1088
fulanus_fulanus,-39.10390091,-13.94470024,3072,1088
fulanus_fulanus,-39.10689926,-13.59939957,2993,1088
fulanus_fulanus,-39.066667,-15.166667,3230,1088
fulanus_fulanus,-39.005556,-15.315278,3309,1088
fulanus_fulanus,-63.333333,-8.816667,2234,1088
fulanus_fulanus,-39,-14.25,3152,1088
fulanus_fulanus,-39.066667,-14.7,3151,1088
fulanus_fulanus,-39.814217,-18.276033,3782,1088
fulanus_fulanus,-40.09780121,-19.19689941,3860,1088
