"biosphere","life_style","ecosystem","habitat","latitude","longitude","microGroup","meanAbu","meanRich"
"freshwater","free-living","freshwater","river",-0.156917,-50.62255,"CPR",0.0145392749244713,27
"freshwater","free-living","freshwater","river",-0.156917,-50.62255,"DPANN",0.00075528700906344,2
"freshwater","free-living","freshwater","river",-0.083883,-51.051417,"Bonafide",0.980839574986936,39
"freshwater","free-living","freshwater","river",-0.083883,-51.051417,"CPR",0.0177669395575683,38
"freshwater","free-living","freshwater","river",-0.083883,-51.051417,"DPANN",0.00139348545549556,2
"freshwater","free-living","freshwater","river",37.276682,-80.432882,"Bonafide",0.991500861828272,56.4444444444444
"freshwater","free-living","freshwater","river",37.276682,-80.432882,"CPR",0.00841562604765558,84.7777777777778
"freshwater","free-living","freshwater","river",37.276682,-80.432882,"DPANN",8.351212407182e-05,5.44444444444444
"freshwater","free-living","freshwater","river",37.527941,-77.436144,"Bonafide",0.996495554291944,39.5
"freshwater","free-living","freshwater","river",37.527941,-77.436144,"CPR",0.00348301577076229,47.5
"freshwater","free-living","freshwater","river",37.527941,-77.436144,"DPANN",2.14299372927e-05,1.5
"freshwater","free-living","freshwater","river",37.544717,-77.454775,"Bonafide",0.999976142761714,8.75
"freshwater","free-living","freshwater","river",37.544717,-77.454775,"CPR",2.385723828609e-05,0.25
"freshwater","free-living","freshwater","river",37.544717,-77.454775,"DPANN",0,0
"freshwater","free-living","freshwater","river",38.575744,-77.375646,"Bonafide",0.993549815092917,58
"freshwater","free-living","freshwater","river",38.575744,-77.375646,"CPR",0.0062997907358648,85
"freshwater","free-living","freshwater","river",38.575744,-77.375646,"DPANN",0.00015039417121756,6
"freshwater","free-living","freshwater","river",38.810858,-77.009346,"Bonafide",0.989280148702777,57
"freshwater","free-living","freshwater","river",38.810858,-77.009346,"CPR",0.0105237373995843,85
"freshwater","free-living","freshwater","river",38.810858,-77.009346,"DPANN",0.0001961138976387,6
"freshwater","free-living","freshwater","river",38.817849,-77.510242,"Bonafide",0.995864333459288,57
"freshwater","free-living","freshwater","river",38.817849,-77.510242,"CPR",0.00401173842480991,85
"freshwater","free-living","freshwater","river",38.817849,-77.510242,"DPANN",0.00012392811590174,6
"freshwater","free-living","freshwater","river",38.944929,-77.050302,"Bonafide",0.992617314835264,58
"freshwater","free-living","freshwater","river",38.944929,-77.050302,"CPR",0.00727537454880959,85
"freshwater","free-living","freshwater","river",38.944929,-77.050302,"DPANN",0.0001073106159255,6
"freshwater","free-living","freshwater","river",38.963623,-77.157501,"Bonafide",0.990037706824428,58
"freshwater","free-living","freshwater","river",38.963623,-77.157501,"CPR",0.00985493794969861,84
"freshwater","free-living","freshwater","river",38.963623,-77.157501,"DPANN",0.00010735522587233,6
"freshwater","free-living","freshwater","river",38.984951,-77.041723,"Bonafide",0.994325482601198,58
"freshwater","free-living","freshwater","river",38.984951,-77.041723,"CPR",0.00559402547911427,85
"freshwater","free-living","freshwater","river",38.984951,-77.041723,"DPANN",8.049191968666e-05,6
"freshwater","free-living","freshwater","river",39.29577,-77.792231,"Bonafide",0.98739244619506,58
